timestamp_utc,frame_idx,ear,is_eye_closed,perclos,blink_count
2025-09-27T13:02:54.684889,1,0.2702,0,0.0000,0
2025-09-27T13:02:54.731608,2,0.2616,0,0.0000,0
2025-09-27T13:02:54.741637,3,0.2660,0,0.0000,0
2025-09-27T13:02:54.793766,4,0.2659,0,0.0000,0
2025-09-27T13:02:54.838435,5,0.2910,0,0.0000,0
2025-09-27T13:02:54.905151,6,0.2744,0,0.0000,0
2025-09-27T13:02:54.939055,7,0.3159,0,0.0000,0
2025-09-27T13:02:54.981976,8,0.2874,0,0.0000,0
2025-09-27T13:02:55.038463,9,0.2808,0,0.0000,0
2025-09-27T13:02:55.076840,10,0.2808,0,0.0000,0
2025-09-27T13:02:55.127365,11,0.2932,0,0.0000,0
2025-09-27T13:02:55.180626,12,0.2896,0,0.0000,0
2025-09-27T13:02:55.238042,13,0.3000,0,0.0000,0
2025-09-27T13:02:55.253050,14,0.2741,0,0.0000,0
2025-09-27T13:02:55.291561,15,0.3018,0,0.0000,0
2025-09-27T13:02:55.327523,16,0.2900,0,0.0000,0
2025-09-27T13:02:55.359373,17,0.2991,0,0.0000,0
2025-09-27T13:02:55.385624,18,0.2652,0,0.0000,0
2025-09-27T13:02:55.421484,19,0.2933,0,0.0000,0
2025-09-27T13:02:55.461770,20,0.2948,0,0.0000,0
2025-09-27T13:02:55.479776,21,0.3275,0,0.0000,0
2025-09-27T13:02:55.515067,22,0.2935,0,0.0000,0
2025-09-27T13:02:55.546296,23,0.2987,0,0.0000,0
2025-09-27T13:02:55.591713,24,0.2943,0,0.0000,0
2025-09-27T13:02:55.624972,25,0.3305,0,0.0000,0
2025-09-27T13:02:55.653139,26,0.3089,0,0.0000,0
2025-09-27T13:02:55.703033,27,0.3274,0,0.0000,0
2025-09-27T13:02:55.721214,28,0.3184,0,0.0000,0
2025-09-27T13:02:55.758226,29,0.3097,0,0.0000,0
2025-09-27T13:02:55.786085,30,0.3005,0,0.0000,0
2025-09-27T13:02:55.819321,31,0.3104,0,0.0000,0
2025-09-27T13:02:55.845232,32,0.3239,0,0.0000,0
2025-09-27T13:02:55.885353,33,0.3143,0,0.0000,0
2025-09-27T13:02:55.931829,34,0.2940,0,0.0000,0
2025-09-27T13:02:55.965120,35,0.3072,0,0.0000,0
2025-09-27T13:02:55.996836,36,0.2991,0,0.0000,0
2025-09-27T13:02:56.027934,37,0.2959,0,0.0000,0
2025-09-27T13:02:56.061569,38,0.3038,0,0.0000,0
2025-09-27T13:02:56.092317,39,0.2962,0,0.0000,0
2025-09-27T13:02:56.122849,40,0.2981,0,0.0000,0
2025-09-27T13:02:56.181642,41,0.3172,0,0.0000,0
2025-09-27T13:02:56.190568,42,0.3074,0,0.0000,0
2025-09-27T13:02:56.219575,43,0.3296,0,0.0000,0
2025-09-27T13:02:56.252141,44,0.3196,0,0.0000,0
2025-09-27T13:02:56.277168,45,0.3178,0,0.0000,0
2025-09-27T13:02:56.327705,46,0.3322,0,0.0000,0
2025-09-27T13:02:56.363075,47,0.3256,0,0.0000,0
2025-09-27T13:02:56.423563,48,0.3329,0,0.0000,0
2025-09-27T13:02:56.431690,49,0.3475,0,0.0000,0
2025-09-27T13:02:56.456122,50,0.3335,0,0.0000,0
2025-09-27T13:02:56.490439,51,0.3301,0,0.0000,0
2025-09-27T13:02:56.516179,52,0.3363,0,0.0000,0
2025-09-27T13:02:56.550851,53,0.3346,0,0.0000,0
2025-09-27T13:02:56.591388,54,0.3533,0,0.0000,0
2025-09-27T13:02:56.648219,55,0.3386,0,0.0000,0
2025-09-27T13:02:56.658052,56,0.3325,0,0.0000,0
2025-09-27T13:02:56.700454,57,0.3565,0,0.0000,0
2025-09-27T13:02:56.732398,58,0.3511,0,0.0000,0
2025-09-27T13:02:56.782101,59,0.3482,0,0.0000,0
2025-09-27T13:02:56.830310,60,0.3262,0,0.0000,0
2025-09-27T13:02:56.876012,61,0.3412,0,0.0000,0
2025-09-27T13:02:56.935766,62,0.3389,0,0.0000,0
2025-09-27T13:02:56.974232,63,0.3227,0,0.0000,0
2025-09-27T13:02:57.021436,64,0.3143,0,0.0000,0
2025-09-27T13:02:57.062743,65,0.3288,0,0.0000,0
2025-09-27T13:02:57.115917,66,0.3199,0,0.0000,0
2025-09-27T13:02:57.175885,67,0.3323,0,0.0000,0
2025-09-27T13:02:57.226662,68,0.3323,0,0.0000,0
2025-09-27T13:02:57.299337,69,0.3292,0,0.0000,0
2025-09-27T13:02:57.316343,70,0.3192,0,0.0000,0
2025-09-27T13:02:57.373255,71,0.3403,0,0.0000,0
2025-09-27T13:02:57.421516,72,0.3221,0,0.0000,0
2025-09-27T13:02:57.467138,73,0.2552,1,0.0137,0
2025-09-27T13:02:57.516329,74,0.1568,1,0.0270,0
2025-09-27T13:02:57.563387,75,0.1053,1,0.0400,0
2025-09-27T13:02:57.655382,76,0.1192,1,0.0526,0
2025-09-27T13:02:57.674751,77,0.1184,1,0.0649,0
2025-09-27T13:02:57.722323,78,0.1135,1,0.0769,0
2025-09-27T13:02:57.773462,79,0.1074,1,0.0886,0
2025-09-27T13:02:57.819938,80,0.1035,1,0.1000,0
2025-09-27T13:02:57.869809,81,0.1527,1,0.1111,0
2025-09-27T13:02:57.916689,82,0.1674,1,0.1220,0
2025-09-27T13:02:57.974519,83,0.2791,0,0.1205,1
2025-09-27T13:02:58.011857,84,0.2839,0,0.1190,1
2025-09-27T13:02:58.077328,85,0.2934,0,0.1176,1
2025-09-27T13:02:58.119387,86,0.3013,0,0.1163,1
2025-09-27T13:02:58.173628,87,0.3106,0,0.1149,1
2025-09-27T13:02:58.213694,88,0.3204,0,0.1136,1
2025-09-27T13:02:58.269734,89,0.3138,0,0.1124,1
2025-09-27T13:02:58.332855,90,0.3197,0,0.1111,1
2025-09-27T13:02:58.359044,91,0.3188,0,0.1099,1
2025-09-27T13:02:58.412061,92,0.3365,0,0.1087,1
